Record Identifier,Measurement Date,Month,Year,First PIP,PIP Table #,Eff. Chart Material Class,Eff. Chart Cell Type,Detailed description,Group(s),Efficiency (%),Revised/New Efficiency (%),Combined efficiency (%),Uncertainty (%),Area (cm2),Type of Area,VOC (V),Jsc (mA/cm2),Revised/ New Jsc (mA/cm2) (PIP #33 ->),FF (%),  Suns,Accredited Testing Centers,REV. EFF. Check 22,Notes
441,2017-09-01,9,2017,51,2,III-V Multijunction Cells,Two-junction (non-concentrator),"GaInP/GaAs, monolithic, 2-terminal",LG Electronics,,32.8,32.8,1.4,1,ap,2.568,,14.56,0.877,1.0,NREL,0.9997286634146344,
442,2017-09-28,9,2017,,,Single-Junction GaAs,Single crystal,GaInP/GaAs,LG Electronics,,,27.8,,0.997,,1.075,,29.96,0.862,1.0,NREL,,
444,2017-10-01,10,2017,51,5,III-V Multijunction Cells,Concentrator,"GaInAsP/GaInAs, 2-termimal tandem",NREL,,35.5,35.5,1.2,0.10031,da,,,,,38.0,NREL,,Not measured at an external laboratory.
443,2017-10-01,10,2017,51,4,III-V Multijunction Cells,Two-junction (non-concentrator),"GaInAsP/GaInAs, monolithic, tandem",NREL,,32.6,32.6,1.4,0.248,ap,2.024,,19.51,0.825,1.0,NREL,0.9993189570552147,Not measured at an external laboratory  [Not confirmed (mh)]
445,2017-11-01,11,2017,52,1,Thin-Film Technologies,CIGS,thin film,Solar Frontier,,22.9,22.9,0.5,1.041,da,0.744,,38.77,0.795,1.0,AIST,1.0013833886462884,
446,2018-01-01,1,2018,53,3,III-V Multijunction Cells,Three-junction or more (non-concentrator),"GaInP/GaAs/GaInAs, monolithic, 2-terminal",Microlink (ELO),,37.8,37.8,1.4,0.998,ap,3.013,,14.6,0.858,1.0,NREL,0.998498634920635,
447,2018-02-01,2,2018,52,2,Crystalline Si Cells,Single crystal (non-concentrator),"p-type rear, IBC",ISFH,,26.1,26.1,0.3,3.9857,da,0.7266,,42.62,0.843,1.0,ISFH,1.000220856551724,
448,2018-02-01,2,2018,52,3,Hybrid Tandems,Perovskite/Si,"Pervoskite/Si, monolithic, 2-term",EPFL,,25.2,25.2,0.7,1.419,da,1.787,,19.53,0.723,1.0,FhG-ISE,1.001300775,Initial efficiency. Han and Yang and You review the stability of similar perovskite‐based devices.
449,2018-02-01,2,2018,52,2,Emerging PV,Organic cells,"thin film, Bulk heterojunction",PPC/CAS,,12.3,12.3,0.3,0.09,da,0.887,,18.83,0.735,,Newport,0.9980588902439023,Long-term stability not investigated
450,2018-04-01,4,2018,52,3,Hybrid Tandems,Perovskite/Si,"Perovskite/Si, monolithic, 2-term",Oxford PV/Oxford/HZB,,25.2,25.2,0.8,1.088,da,1.793,,19.02,0.738,1.0,FhG-ISE,0.9987266142857143,Initial efficiency. Han and Yang and You review the stability of similar perovskite‐based devices.
