Record Identifier,Measurement Date,Month,Year,First PIP,PIP Table #,Eff. Chart Material Class,Eff. Chart Cell Type,Detailed description,Group(s),Efficiency (%),Revised/New Efficiency (%),Combined efficiency (%),Uncertainty (%),Area (cm2),Type of Area,VOC (V),Jsc (mA/cm2),Revised/ New Jsc (mA/cm2) (PIP #33 ->),FF (%),  Suns,Accredited Testing Centers,REV. EFF. Check 22,Notes
536,2022-03-01,3,2022,61,,Hybrid Tandems,Perovskite/Organic,,NUS/SERIS,,,23.4,,,,,,,,,,,
537,2023-03-23,3,2023,TBD,2,Emerging PV,Quantum dot cells,,UNIST,,19.1,19.1,3.1,0.12,ap,1.1695,21.02,,77.6,1.0,Newport,,
538,2021-07-09,7,2021,,,Hybrid Tandems,Perovskite/Organic,Perovskite/organic 2-terminal,Bergische Universität Wuppertal,,,23.1,6.9,0.0174,ap,,,,,1.0,FhG-ISE,0.0,
539,2023-05-01,5,2023,63,3,Hybrid Tandems,III-V/Si ,GaInP/GaInAsP//Si (wafer bonded),FhG-ISE/AMOLF,,,36.1,1.3,3.987,,3.309,12.7,,86,1.0,FhG-ISE,,
540,2024-04-24,4,2024,64,2,Emerging PV,Perovskite cells,,University of Science and Technology of China,,,26.7,2.2,0.0519,ap,1.193,26.49,,84.5,1.0,NPVM,,
541,2024-05-17,5,2024,65,2,Thin-Film Technologies,CdTe,,First Solar,,,23.08,1.7,0.4507,da,0.9048,31.66,,80.6,1.0,NREL,,
542,2023-12-01,12,2023,65,1,Crystalline Si Cells,Silicon heterostructures (HIT),HBC,LONGi,,,27.3,1.5,243.1,da,0.743,42.6,,86.19,1.0,ISFH,,
543,2024-04-30,4,2024,65,3,Hybrid Tandems,Perovskite/Si,,LONGi,,,34.6,1.0,1.004,da,1.996,20.7,,83.6,1.0,JRC-ESTI,,
544,2024-06-24,6,2024,64,3,Emerging PV,Perovskite tandem cells,Perovskite 2J 2T,Nanjing Univ / Renshine,,,30.1,,0.04934,da,2.199,16.7,,81.5,1.0,JET,,
545,2024-04-24,4,2024,64,2,Emerging PV,CZTSSe cells,,IoP/CAS,,,15.07,2.2,0.2697,da,0.4303,38.41,,73.96,1.0,NPVM,,
546,2024-12-04,12,2024,65,3,Hybrid Tandems,Perovskite/CIGS,"Perovskite/CIGS, 2-term",HZB,,,24.6,4.4,1.1052,da,1.759,19.27,,70.8,1.0,FhG-ISE,,
547,2025-01-21,1,2025,66,2,Emerging PV,Perovskite cells,,Soochow University / UNSW,,,26.95,2.2,0.0583,da,,,,,1.0,NPVM,,
548,2025-04-03,4,2025,,,Hybrid Tandems,Perovskite/CIGS,"Perovskite/CIGS, 2-term",Seoul National University / KIST,,,26.3,4.5,0.222,da,1.75,20.88,,73,1.0,FhG-ISE,,
549,2024-05-06,5,2024,66,,Hybrid Tandems,Perovskite/Si,,LONGi,,,34.85,1.0,1.005,da,1.997,21.08,,82.8,1.0,NREL,,
550,2025-01-20,1,2025,67,,Crystalline Si Cells,Silicon heterostructures (HIT),HIBC,LONGi,,,27.8,1.6,133.63,da,0.7449,42.64,,87.55,1.0,ISFH,,
551,2025-01-01,1,2025,66,2,Emerging PV,CZTSSe cells,,IoP/CAS,,,15.8,1.8,0.225,da,0.554,38.14,,74.7,1.0,NPVM,,
